967842,Дрель-шуруповерт аккумуляторная безударная Зубр ДШЛ-185-22 18В 2х2Ач Li-Ion 2 АКБ и ЗУ,7540.0
681528,Ножовка по дереву КМ 400 мм 11 зуб/дюйм мелкий зуб,593.0
828654,Штуцер Fubag (180140 B) для соединения 1/4 НР,75.0
759079,Шланг спиральный Patriot (830901040) PU 8 быстросъемный 8 м для компрессоров,650.0
504745,Шлифмашина угловая электрическая Интерскол УШМ-150/1300 (58.1.0.00) 1300 Вт d150 мм,5124.0
166882,Пила дисковая электрическая Makita HS6601 1050 Вт 165 мм,9254.0
504623,Пылесос строительный электрический Einhell TC-VC 1812 S (2342370) 1250 Вт 12 л,4800.0
828667,Масло Fubag (991899) 1 л для компрессоров,576.0
681524,Ножовка по дереву Hesler 350 мм 9 зуб/дюйм средний зуб,350.0
653794,"Электропила цепная КМ ЕCS-1801/16 1800 Вт шаг 3/8"" паз 1,3 мм 57 звеньев",4451.0
921136,Дрель-шуруповерт аккумуляторная безударная Интерскол ДА-10/18В (709.2.2.70) 18В 2х2Ач Li-Ion 2 АКБ иЗУ,6753.0
127609,Шлифмашина вибрационная электрическая Makita BO3711 190 Вт 93х228 мм,5789.0
795206,Шлифмашина угловая электрическая Ресанта УШМ-230/2300 (75/12/9) 2300 Вт d230 мм,8190.0
967837,Шлифмашина угловая электрическая Зубр УШМ-125-805 800 Вт d125 мм,3110.0
684970,Фен строительный электрический Makita HG5030K (6666910) 1600 Вт,5373.0
504766,Реноватор электрический Makita TM3000C 320 Вт,7895.0
684984,Краскораспылитель пневматический Fubag (110103) Basic G600/1.5 HP верхний бачок,1140.0
813811,Гравер электрический Зубр ЗГ-160 КН41 160 Вт с набором оснастки,3699.0
147210,Шуруповерт ударный Makita TD0101F 230 Вт,6460.0
136807,Дрель-шуруповерт аккумуляторная ударная Makita DHP 453 RFE 18В 2х3Ач Li-Ion,20160.0
967839,Шлифмашина угловая электрическая Зубр УШМ-П125-1500 ЭПСТ 1500 Вт d125 мм,6780.0
504761,"Перфоратор электрический Makita HR2630 800 Вт 2,9 Дж SDS-plus",13140.0
681522,Ножовка по дереву КМ 350 мм 11 зуб/дюйм мелкий зуб,518.0
684985,Краскораспылитель пневматический Fubag (110105) Basic S1000/1.8 HP нижний бачок,2599.0
813812,Штроборез Зубр ЗШ-30-1200 Т 1200 Вт d125 мм,6999.0
129624,Дрель-миксер электрическая Интерскол КМ-60/1000Э (52.1.2.00) 1050 Вт,11864.0
795205,Шлифмашина угловая электрическая Ресанта УШМ-125/900 (75/12/2) 900 Вт d125 мм,3490.0
664520,Дрель безударная Интерскол Д-10/420ЭР (672.1.0.00) 420 Вт,2137.0
681542,Ножовка по дереву для фанеры Hesler 350 мм 13 зуб/дюйм мелкий зуб,356.0
835566,"Дрель-шуруповерт аккумуляторная КМ (CD-122) 12В 1х1,5Ач Li-Ion 1 АКБ и ЗУ",2490.0
795200,Фен строительный электрический Ресанта ФЭ-2000К (75/2/1) 2000 Вт,2790.0
828650,Муфта Fubag (180102 B) для соединения 1/2 НР,280.0
505056,Пистолет клеевой электрический Rexant (12-0105) 100 Вт,517.0
681533,Ножовка по дереву КМ 450 мм 11 зуб/дюйм мелкий зуб,705.0
691786,Шланг спиральный Fubag (170306) 15 м полиуретан с фитингами,2290.0
663155,Дрель-шуруповерт аккумуляторная ударная КМ АТОМ (CID-184BL) 18В Li-Ion без АКБ и ЗУ,4510.0
129616,Лобзик электрический Makita JV0600K 650 Вт,8909.0
759063,Масло компрессорное Patriot (850030600) 1 л,445.0
504762,Шлифмашина угловая электрическая Makita GA5034 720 Вт d125 мм,5313.0
635101,"Краскопульт электрический Einhell TC-SY 600 S (4260015) 600 Вт 0,8 л",6500.0
156414,"Дрель-шуруповерт аккумуляторная 10,8В 1,3Ач Li-Ion",1548.0
615969,"Компрессор безмасляный Metabo (601532000) Basic 250-24 W OF 24 л 1,5 кВт",17746.0
681520,Ножовка по дереву Hesler 300 мм 11 зуб/дюйм мелкий зуб,358.0
688305,Полотно ножовочное по металлу Hesler биметаллическое 300 мм 24 зуб/дюйм (2 шт.) мелкий зуб,188.0
681536,Ножовка по дереву Hesler 450 мм 9 зуб/дюйм средний зуб,485.0
504686,"Перфоратор аккумуляторный DeWalt DCH133N 2,6 Дж 18В Li-Ion SDS-plus без АКБ и ЗУ",16879.0
684999,Шланг спиральный Fubag (9170305) 10 м полиуретан,1650.0
612663,Гайковерт аккумуляторный ударный Makita DTW190Z 18В Li-Ion без АКБ и ЗУ,5786.0
828652,Муфта Fubag (180100 B) для соединения 1/4 НР,330.0
681527,Ножовка по дереву КМ 400 мм 7 зуб/дюйм крупный зуб,447.0
663153,Дрель-шуруповерт аккумуляторная ударная КМ АТОМ (CID-182) 18В Li-Ion без АКБ и ЗУ,2800.0
795190,Дрель-шуруповерт аккумуляторная безударная Ресанта ДА-18-2ЛК (75/14/5) 18В 2х2Ач Li-Ion 2 АКБ иЗУ,6201.0
635099,"Краскопульт электрический Einhell TC-SY 400 P (4260005) 400 Вт 0,8 л",3990.0
168274,"Бензопила Champion 237 2,04 л.с. 16"" шаг 3/8"" паз 1,3 мм 56 звеньев",9290.0
759056,"Компрессор безмасляный Patriot (525306370) WO 10-120 10 л 0,65 кВт",10490.0
680152,Пила торцовочная электрическая КМ MS-1401/210 (680152) 1400 Вт 210 мм,6800.0
668540,Гайковерт аккумуляторный ударный КМ АТОМ (СIW-182) 18В Li-Ion без АКБ и ЗУ,2990.0
967203,Дрель-шуруповерт аккумуляторная безударная щеточная Patriot BR 114LI (180201405) 12В 2х2Ач Li-Ion 2 АКБ и ЗУ,2622.0
614111,"Дрель-шуруповерт аккумуляторная КМ (CD-121) 12В 1х1,5Ач Li-Ion 1 АКБ и ЗУ",2838.0
813817,Пылесос строительный электрический Зубр ПУ-20-1400 М3 1400 Вт 20 л,7920.0
156418,Лобзик электрический 400 Вт,1990.0
